script,nominal_waves,period_steps,actual_cycles_after_start,step,schedule_ratio,wsd_ratio,block_lr,gamma_lr
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,61,1.0,0.062,0.0001116,0.0001116
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,62,1.0,0.063,0.00011339999999999999,0.00011339999999999999
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,63,1.0,0.064,0.0001152,0.0001152
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,64,1.0,0.065,0.000117,0.000117
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,65,1.0,0.066,0.0001188,0.0001188
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,66,1.0,0.067,0.0001206,0.0001206
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,67,1.0,0.068,0.0001224,0.0001224
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,68,1.0,0.069,0.0001242,0.0001242
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,69,1.0,0.07,0.000126,0.000126
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,70,1.0,0.071,0.0001278,0.0001278
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,71,1.0,0.072,0.00012959999999999998,0.00012959999999999998
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,72,1.0,0.073,0.0001314,0.0001314
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,73,1.0,0.074,0.00013319999999999999,0.00013319999999999999
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,74,1.0,0.075,0.000135,0.000135
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,75,1.0,0.076,0.0001368,0.0001368
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,76,1.0,0.077,0.0001386,0.0001386
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,77,1.0,0.078,0.0001404,0.0001404
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,78,1.0,0.079,0.0001422,0.0001422
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,79,1.0,0.08,0.000144,0.000144
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,80,1.0,0.081,0.0001458,0.0001458
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,81,1.0,0.082,0.0001476,0.0001476
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,82,1.0,0.083,0.0001494,0.0001494
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,83,1.0,0.084,0.00015120000000000002,0.00015120000000000002
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,84,1.0,0.085,0.000153,0.000153
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,85,1.0,0.086,0.0001548,0.0001548
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,86,1.0,0.087,0.00015659999999999998,0.00015659999999999998
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,87,1.0,0.088,0.00015839999999999997,0.00015839999999999997
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,88,1.0,0.089,0.0001602,0.0001602
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,89,1.0,0.09,0.00016199999999999998,0.00016199999999999998
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,90,1.0,0.091,0.0001638,0.0001638
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,91,1.0,0.092,0.0001656,0.0001656
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,92,1.0,0.093,0.0001674,0.0001674
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,93,1.0,0.094,0.0001692,0.0001692
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,94,1.0,0.095,0.000171,0.000171
